"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","749","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","661","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
"","1560","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","858","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
"","1394","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","26","test_bb84_mitm_usually_detected","tests.unit","2026-01-26","passed","2026-01-26","","test_qkd_bb84","",""
"","641","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
"","961","test_login_invalid_password","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","580","test_performance_metrics","tests.performance","2026-01-26","passed","2026-01-26","","test_performance_metrics","",""
"","656","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
"","964","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","119","test_dummy_api_status","tests.api","2026-01-26","passed","2026-01-26","","test_dummy_api","",""
"","853","test_login_success","tests.ui","2026-01-26","passed","2026-01-26","","test_login","",""
"","18","test_bb84_clean_channel_usually_accepts","tests.unit","2026-01-26","passed","2026-01-26","","test_qkd_bb84","",""
"","911","test_login_page_visual_regression","tests.visual","2026-01-26","passed","2026-01-26","","test_visual_login","",""
